Trt,Rep,Males ,Females,Males ,Females,Males ,Females,Males ,Females,Males ,Females,Males ,Females,Total males,Total females,Longevity,Total offspring,Sex ratio
V,1,9,56,0,0,1,4,0,0,,,,,10,60,12,70,85.71428571
V,2,21,38,46,0,5,0,1,5,,,,,73,43,12,116,37.06896552
V,3,67,0,36,0,0,0,0,0,,,,,.,.,10,103,.
V,4,3,43,2,13,0,0,0,0,,,,,5,56,10,61,91.80327869
V,7,5,57,8,41,7,47,,,,,,,20,145,10,165,87.87878788
V,8,20,46,9,20,6,29,,,,,,,35,95,6,130,73.07692308
V,9,9,38,,,,,,,,,,,9,38,3,47,80.85106383
V,10,5,12,7,22,2,9,1,2,,,,,15,45,11,60,75
V,12,4,58,7,48,8,23,5,11,,,,,24,140,14,164,85.36585366
V,13,61,0,5,0,0,0,0,0,,,,,.,.,12,66,.
V,14,50,0,25,0,4,0,,,,,,,.,.,7,79,.
V,15,5,37,6,9,,,,,,,,,11,46,6,57,80.70175439
V,16,7,85,5,14,,,,,,,,,12,99,5,111,89.18918919
V,17,10,57,8,14,,,,,,,,,18,71,6,89,79.7752809
BW,1,8,63,4,40,,,,,,,,,12,103,6,115,89.56521739
BW,2,44,10,43,0,31,0,47,0,,,,,165,10,14,175,5.714285714
BW,3,20,18,0,0,0,0,0,0,4,0,,,24,18,16,42,42.85714286
BW,4,10,50,2,10,,,,,,,,,12,60,7,72,83.33333333
BW,5,5,38,,,,,,,,,,,5,38,4,43,88.37209302
BW,6,56,0,32,0,23,0,22,0,2,0,1,0,.,.,16,136,.
BW,7,16,36,33,0,30,0,29,0,,,,,108,36,12,144,25
BW,8,61,3,32,0,28,0,26,0,0,0,,,147,3,15,150,2
BW,9,5,43,4,42,3,17,3,31,5,14,,,20,147,14,167,88.0239521
BW,10,5,56,4,50,10,44,0,0,,,,,19,150,12,169,88.75739645
BW,12,14,56,8,28,5,27,7,27,2,13,,,36,151,14,187,80.7486631
BW,13,9,29,5,8,2,12,,,,,,,16,49,9,65,75.38461538
BW,14,53,0,26,2,,,,,,,,,79,2,5,81,2.469135802
BW,1,11,53,9,67,7,33,,,,,,,27,153,10,180,85
BW,2,8,40,9,23,8,10,,,,,,,25,73,8,98,74.48979592
BW,3,8,57,8,42,19,20,31,0,6,0,2,0,74,119,25,193,61.65803109
W,1,5,54,,,,,,,,,,,5,54,3,59,91.52542373
W,2,52,0,,,,,,,,,,,.,.,2,52,.
W,3,8,39,,,,,,,,,,,8,39,3,47,82.9787234
W,4,3,41,,,,,,,,,,,3,41,3,44,93.18181818
W,5,56,1,,,,,,,,,,,56,1,3,57,1.754385965
W,6,50,0,,,,,,,,,,,.,.,3,50,.
W,7,6,44,,,,,,,,,,,6,44,3,50,88
W,8,4,27,,,,,,,,,,,4,27,3,31,87.09677419
W,9,67,0,,,,,,,,,,,.,.,2,67,.
W,10,63,0,,,,,,,,,,,.,.,2,63,.
W,1,3,57,,,,,,,,,,,3,57,3,60,95
W,3,8,45,,,,,,,,,,,8,45,3,53,84.90566038
W,4,44,0,,,,,,,,,,,.,.,3,44,.
